id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
1827687,1831210,3,1.194738543,0.230769231,64,0.244318182,0.5,0,0
1827688,1829340,1,0.480898347,0.142857143,15,0.125,0.5,0,0
1827688,1830164,1,0.36067376,0.111111111,25,0.0625,0.5,0,0
1827688,1831210,3,1.194738543,0.3,40,0.244318182,0.5,0,0
1827706,1863747,0,0,0,1,0,1,2,1
1827725,1831157,2,0.787250606,0.181818182,22,0.158823529,0.5,6,0
1827725,1834865,1,0.352956124,0.05,38,0.058823529,0.5,0,0
1827725,1840540,1,0.352956124,0.142857143,12,0.058823529,0.5,4,0
1827725,1848732,2,0.787250606,0.117647059,34,0.158823529,0.5,0,0
1827725,1849944,1,0.352956124,0.1,18,0.058823529,0.5,0,0
1827725,1849948,2,0.787250606,0.222222222,18,0.158823529,0.5,6,0
1827725,1853313,1,0.352956124,0.333333333,4,0.058823529,0.5,4,0
1827725,1859472,2,0.787250606,0.5,8,0.158823529,0.5,3,0
1827725,1859490,2,0.787250606,0.5,8,0.158823529,0.5,0,0
1827725,1859576,2,0.787250606,0.5,8,0.158823529,0.5,6,0
1827725,1861591,1,0.352956124,0.2,8,0.058823529,0.5,0,0
1827725,1863860,2,0.787250606,0.25,16,0.158823529,0.5,6,0
1827738,1838003,1,0.333808201,0.052631579,91,0.05,0.5,0,0
1827794,1835867,2,0.779742491,0.142857143,60,0.153846154,0.5,0,0
1827794,1852774,2,0.779742491,0.166666667,48,0.153846154,0.5,0,0
1827798,1828851,2,0.6397249,0.060606061,234,0.088345865,0.5,3,0
1827798,1829186,1,0.36067376,0.028571429,260,0.0625,0.5,2,0
1827798,1829967,0,0,0,12,0,0,1,1
1827798,1831681,1,0.300101629,0.032258065,156,0.035714286,0.5,2,0
1827798,1834434,10,3.986549871,0.714285714,143,0.819904306,1,10,1
