id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
1827267,1887699,0,0,0,0,0,0,0,1
1827267,1931469,0,0,0,0,0,0,1,1
1827435,1882974,1,0.434294482,0.0625,42,0.1,0.5,0,0
1827435,1938190,0,0,0,0,0,0,2,1
1827892,1836848,2,0.757846363,0.153846154,56,0.142857143,0.5,0,0
1827892,1882974,1,0.434294482,0.111111111,21,0.1,0.5,0,0
1828653,1922850,1,0.369269373,0.066666667,64,0.066666667,0.5,2,0
1828653,1922856,1,0.369269373,0.05,104,0.066666667,0.5,2,0
1828653,1923345,0,0,0,32,0,0.333333333,1,0
1828653,1927155,1,0.369269373,0.058823529,80,0.066666667,0.5,2,0
1828653,1927223,1,0.369269373,0.071428571,56,0.066666667,0.5,2,0
1828653,1927755,0,0,0,64,0,0.333333333,1,0
1828653,1938562,0,0,0,40,0,0.333333333,1,0
1828659,1900088,2,0.916327947,0.181818182,30,0.226190476,0.5,4,0
1828659,1917784,1,0.402429604,0.111111111,21,0.083333333,0.5,3,0
1828659,1920465,1,0.402429604,0.142857143,15,0.083333333,0.5,2,0
1828659,1921353,2,0.916327947,0.333333333,15,0.226190476,0.5,3,0
1828659,1931391,2,0.916327947,0.333333333,15,0.226190476,0.5,4,0
1828659,1940513,1,0.402429604,0.142857143,15,0.083333333,0.5,3,0
1828662,1830920,2,0.738538746,0.222222222,28,0.133333333,0.5,0,0
1828662,1891057,2,0.738538746,0.25,24,0.133333333,0.5,0,0
1829002,1932887,0,0,0,2,0,0,0,1
1829002,1939512,1,0.72134752,0.2,5,0.25,0.5,0,0
1829885,1896880,1,0.513898342,0.166666667,6,0.142857143,0.5,0,0
1830866,1945462,4,2.485339738,0.666666667,25,0.8,1,8,1
1830920,1891057,2,0.738538746,0.181818182,42,0.133333333,0.5,0,0
1831171,1897053,0,0,0,18,0,0.25,0,0
1831171,1912729,1,0.434294482,0.111111111,24,0.1,0.5,0,0
1831171,1914542,1,0.434294482,0.071428571,54,0.1,0.5,0,0
1831171,1921252,0,0,0,42,0,0.333333333,0,0
1831171,1921780,0,0,0,30,0,0.333333333,0,0
1831171,1931782,0,0,0,12,0,0.25,0,0
1831738,1902231,1,0.417032391,0.1,28,0.090909091,0.5,0,0
1831738,1902234,1,0.417032391,0.083333333,42,0.090909091,0.5,0,0
1831738,1947223,0,0,0,28,0,0.333333333,0,0
1832844,1851292,3,1.800780496,0.6,16,0.566666667,0.5,0,0
1832844,1895537,1,0.558110627,0.2,8,0.166666667,0.5,0,0
1834221,1923604,2,0.961796694,0.285714286,20,0.25,0.5,3,0
1834221,1924250,2,0.961796694,0.166666667,45,0.25,0.5,3,0
1834221,1928775,2,0.961796694,0.285714286,20,0.25,0.5,6,0
1834221,1931571,0,0,0,25,0,0.333333333,1,0
1834446,1897347,1,0.621334935,0.125,18,0.2,0.5,0,0
1834521,1886868,1,0.480898347,0.071428571,44,0.125,0.5,0,0
1834521,1904635,3,1.923593388,0.25,44,0.625,1,0,1
1834521,1936969,1,0.345976256,0.071428571,44,0.055555556,0.5,0,0
1834521,1945717,1,0.345976256,0.076923077,33,0.055555556,0.5,1,0
1834521,1945829,1,0.345976256,0.076923077,33,0.055555556,0.5,0,0
1834567,1839759,3,2.164042561,0.428571429,24,0.75,1,2,1
1834567,1847996,3,2.000805667,0.6,16,0.666666667,1,3,1
1834567,1851292,1,0.558110627,0.2,8,0.166666667,0.5,3,1
1834567,1895537,2,1.279458147,0.4,10,0.416666667,0.5,3,0
1835007,1890199,2,1.820478453,0.5,9,0.666666667,1,0,1
1835578,1845478,2,1.820478453,0.5,9,0.666666667,1,2,1
1835629,1886817,1,0.369269373,0.058823529,17,0.066666667,0.5,0,0
1835629,1886929,0,0,0,7,0,0.25,0,0
1835629,1887167,0,0,0,2,0,0.333333333,0,0
1835629,1894596,1,0.369269373,0.0625,16,0.066666667,0.5,0,0
1835629,1900796,1,0.369269373,0.333333333,3,0.066666667,0.5,0,0
1835629,1903815,0,0,0,5,0,0.25,0,0
1835629,1903845,0,0,0,5,0,0.333333333,0,0
1835629,1912597,0,0,0,6,0,0.333333333,0,0
1835629,1918407,1,0.369269373,0.5,2,0.066666667,0.5,0,0
1835629,1921448,0,0,0,1,0,0.25,0,0
1835629,1921652,0,0,0,9,0,0.333333333,0,0
1835629,1923669,1,0.369269373,1,1,0.066666667,0.5,0,0
1835629,1924395,1,0.369269373,0.166666667,6,0.066666667,0.5,0,0
1835629,1928537,1,0.369269373,0.083333333,12,0.066666667,0.5,0,0
1835629,1929254,0,0,0,7,0,0.333333333,0,0
1835629,1929342,0,0,0,1,0,0.333333333,0,0
1835629,1929354,0,0,0,10,0,0.333333333,0,0
1835629,1929357,0,0,0,11,0,0.333333333,0,0
1835629,1938329,0,0,0,8,0,0.25,0,0
1835629,1945791,0,0,0,18,0,0.333333333,0,0
1835629,1945890,0,0,0,10,0,0.25,0,0
1835629,1946353,0,0,0,3,0,0.25,0,0
1835629,1949487,0,0,0,8,0,0.333333333,0,0
1836002,1857339,2,0.910239227,0.25,24,0.222222222,0.5,0,0
1836213,1890633,11,5.873943187,0.846153846,144,1.69047619,1,11,1
1836848,1882331,2,0.757846363,0.125,80,0.142857143,0.5,0,0
1836848,1882974,0,0,0,24,0,0.333333333,0,0
1836848,1938190,2,0.757846363,0.153846154,56,0.142857143,0.5,3,0
1837472,1920841,6,4.305818191,0.6,63,1.466666667,1,12,1
1837472,1930947,4,2.377903146,0.4,45,0.742857143,1,9,1
1837472,1947333,1,0.72134752,0.090909091,20,0.25,0.5,2,0
1837585,1887471,1,0.621334935,0.25,6,0.2,0.5,4,0
1837585,1918355,1,0.621334935,0.25,6,0.2,0.5,0,0
1837705,1924097,1,0.558110627,0.1,30,0.166666667,0.5,2,0
1837705,1924117,0,0,0,15,0,0.333333333,0,0
1837705,1941454,1,0.558110627,0.142857143,15,0.166666667,0.5,2,0
1838529,1926867,1,0.910239227,0.5,2,0.333333333,0.5,4,0
1839207,1911621,1,0.621334935,0.25,6,0.2,0.5,2,0
1839207,1924097,0,0,0,12,0,0.333333333,1,0
1839207,1924117,0,0,0,6,0,0.25,0,0
1839207,1937628,1,0.621334935,0.142857143,12,0.2,0.5,2,0
1839207,1941454,0,0,0,6,0,0.333333333,1,0
