id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
1827194,1901954,0,0,0,0,0,0,0,1
1827236,1920398,0,0,0,1,0,1,2,1
1827267,1871199,1,0.621334935,0.25,6,0.2,0.5,0,0
1827267,1931469,0,0,0,0,0,0,1,1
1827392,1831247,0,0,0,91,0,0.25,1,0
1827392,1831420,0,0,0,259,0,0.25,1,0
1827392,1831484,0,0,0,147,0,0.25,1,0
1827392,1834209,0,0,0,77,0,0.25,1,0
1827392,1841341,0,0,0,56,0,0.25,1,0
1827392,1842805,0,0,0,119,0,0.333333333,1,0
1827392,1853147,0,0,0,168,0,0.333333333,1,0
1827392,1855088,0,0,0,35,0,0.25,1,0
1827392,1881612,0,0,0,112,0,0.333333333,1,0
1827392,1882242,0,0,0,91,0,0.333333333,1,0
1827392,1882299,0,0,0,56,0,0.333333333,0,0
1827392,1882624,0,0,0,56,0,0.333333333,1,0
1827392,1882640,0,0,0,84,0,0.333333333,1,0
1827392,1883033,0,0,0,126,0,0.25,1,0
1827392,1883226,1,0.328458739,0.052631579,91,0.047619048,0.5,2,0
1827392,1883851,0,0,0,56,0,0.25,2,0
1827392,1886214,0,0,0,259,0,0.333333333,1,0
1827392,1886708,0,0,0,28,0,0.25,0,0
1827392,1886848,0,0,0,28,0,0.25,1,0
1827392,1893701,1,0.328458739,0.083333333,42,0.047619048,0.5,2,0
1827392,1893828,0,0,0,28,0,0.333333333,1,0
1827392,1895685,0,0,0,14,0,0.25,1,0
1827392,1899570,0,0,0,35,0,0.25,0,0
1827392,1901718,1,0.328458739,0.03030303,189,0.047619048,0.5,2,0
1827392,1904306,0,0,0,63,0,0.25,0,0
1827392,1908849,1,0.328458739,0.05,98,0.047619048,0.5,2,0
1827392,1912066,0,0,0,84,0,0.25,1,0
1827392,1923507,0,0,0,77,0,0.333333333,1,0
1827392,1924298,1,0.328458739,0.071428571,56,0.047619048,0.5,2,0
1827392,1929696,0,0,0,42,0,0.333333333,1,0
1827392,1931728,0,0,0,56,0,0.25,0,0
1827392,1956341,0,0,0,105,0,0.25,1,0
1827392,1960719,0,0,0,42,0,0.25,1,0
1827392,1972766,0,0,0,49,0,0.333333333,1,0
1827392,1973538,0,0,0,21,0,0.25,1,0
1827392,1980905,0,0,0,49,0,0.333333333,0,0
1827392,2033837,0,0,0,70,0,0.333333333,1,0
1827433,1857020,0,0,0,52,0,0.333333333,1,0
1827433,1888520,0,0,0,52,0,0.25,1,0
1827433,1889359,0,0,0,26,0,0.25,1,0
1827433,1889908,0,0,0,26,0,0.333333333,1,0
1827433,1893252,0,0,0,143,0,0.25,1,0
1827433,1893793,0,0,0,65,0,0.333333333,1,0
1827433,1894442,0,0,0,117,0,0.25,1,0
1827433,1899020,1,0.36067376,0.034482759,221,0.0625,0.5,1,0
1827433,1899881,1,0.352956124,0.05,104,0.058823529,0.5,1,0
1827433,1904480,0,0,0,260,0,0.333333333,1,0
1827433,1913967,0,0,0,403,0,0.25,0,0
1827433,1916517,0,0,0,247,0,0.25,1,0
1827433,1919824,0,0,0,299,0,0.333333333,1,0
1827433,1928026,0,0,0,169,0,0.25,1,0
1827433,1930816,0,0,0,65,0,0.25,1,0
1827433,1934284,0,0,0,195,0,0.25,1,0
1827433,1946537,0,0,0,156,0,0.333333333,1,0
1827433,1947240,0,0,0,156,0,0.25,1,0
1827433,1948202,1,0.36067376,0.047619048,117,0.0625,0.5,1,0
1827433,1954659,0,0,0,65,0,0.25,0,0
1827433,1954900,0,0,0,78,0,0.25,1,0
1827433,1971586,1,0.36067376,0.066666667,39,0.0625,0.5,0,0
